"Trust in government"
"% of population aged 15+, 2022"
"Category","Percentage of population aged 15 years or over"
"Switzerland",82.4147080665547
"Luxembourg",80.8052598064363
"Finland",75.8498973670364
"Ireland",62.8665611128652
"Norway",61.2444704025286
"Denmark",59.9302999817543
"Germany",59.6032628971044
"Sweden",58.4721168114139
"Mexico",58.2258972073594
"Costa Rica",56.6922995901884
"Belgium",54.0642438491453
"Estonia",53.2515222125284
"New Zealand",52.1094300622897
"Australia",51.8979688314896
"Portugal",51.8005274079399
"Canada",51.054040363451
"Iceland",48.6198557412012
"Türkiye",47.2856145781887
"Netherlands",47.1665800035596
"Austria",47.0976387228915
"Slovenia",46.1378711563382
"Israel",45.5160013087694
"France",44.0578531877114
"Italy",42.5664916034517
"Japan",42.2171181082776
"Lithuania",41.1280067818139
"Hungary",40.9821594726848
"Spain",38.8166796121141
"Poland",38.2927879027986
"Czechia",37.3899033145008
"United Kingdom",33.8596870929583
"Chile",32.9369596591086
"Greece",32.1713999477071
"Korea",31.8012192000391
"Latvia",31.7961087510268
"United States",30.9280437076301
"Colombia",30.0606184194698
"Slovak Rep.",22.0013972949228
