"Trust in government"
"% of population aged 15+, 2018"
"Category","Percentage of population aged 15 years or over"
"Switzerland",84.2933448635261
"Luxembourg",78.0304967635858
"New Zealand",66.9703176566263
"Norway",66.8344304622784
"Netherlands",65.0628000548596
"Denmark",61.7768145042876
"Ireland",61.2779498084939
"Canada",60.9914721615327
"Finland",60.9413155575778
"Germany",60.9279861737013
"Türkiye",60.2987714827353
"Sweden",53.8339818161763
"Poland",52.9070858153402
"Portugal",51.2938723704886
"Austria",49.1623206478053
"Estonia",48.6589387688304
"Australia",47.5511441200775
"Hungary",46.7919031435154
"Israel",46.0589041695201
"Czechia",44.4137244347207
"Japan",44.3786927581277
"Belgium",42.3496418228868
"Costa Rica",41.0652322035004
"United Kingdom",40.9196501661353
"Lithuania",39.8188555650196
"Korea",39.5375599009574
"France",38.9915854611354
"Mexico",35.8312448036839
"United States",35.7625234162457
"Slovak Rep.",32.1224750380191
"Spain",31.4544593822078
"Slovenia",29.4108687403275
"Colombia",28.4761536416501
"Latvia",26.312517898408
"Chile",25.8695372961268
"Greece",25.1864080264858
"Italy",22.4882199385052
