country,Percentage of population aged 15 years or over,year
Switzerland,82.4147080665547,2022
Luxembourg,80.8052598064363,2022
Finland,75.8498973670364,2022
Ireland,62.8665611128652,2022
Norway,61.2444704025286,2022
Denmark,59.9302999817543,2022
Germany,59.6032628971044,2022
Sweden,58.4721168114139,2022
Mexico,58.2258972073594,2022
Costa Rica,56.6922995901884,2022
Belgium,54.0642438491453,2022
Estonia,53.2515222125284,2022
New Zealand,52.1094300622897,2022
Australia,51.8979688314896,2022
Portugal,51.8005274079399,2022
Canada,51.054040363451,2022
Iceland,48.6198557412012,2022
Türkiye,47.2856145781887,2022
Netherlands,47.1665800035596,2022
Austria,47.0976387228915,2022
Slovenia,46.1378711563382,2022
Israel,45.5160013087694,2022
France,44.0578531877114,2022
Italy,42.5664916034517,2022
Japan,42.2171181082776,2022
Lithuania,41.1280067818139,2022
Hungary,40.9821594726848,2022
Spain,38.8166796121141,2022
Poland,38.2927879027986,2022
Czechia,37.3899033145008,2022
United Kingdom,33.8596870929583,2022
Chile,32.9369596591086,2022
Greece,32.1713999477071,2022
Korea,31.8012192000391,2022
Latvia,31.7961087510268,2022
United States,30.9280437076301,2022
Colombia,30.0606184194698,2022
Slovak Rep.,22.0013972949228,2022
